step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
145,2007-01-04 12:05:00,0.12934312938568912,-0.270769277229689,0.0,2.1805412735334158,2.451310550763105,0.0,0.0,19
146,2007-01-04 12:10:00,0.10622841943043686,-0.970769277229689,0.44217995795872933,2.1165796301068704,3.5295288652952888,0.014739331931957644,-0.014739331931957644,19
147,2007-01-04 12:15:00,0.1,-0.33631783251112785,1.032000452307027,2.166187355526902,3.5345056403450568,0.0344000150769009,-0.034898759963285356,19
148,2007-01-04 12:20:00,0.1,-0.0,1.000943472470453,2.215795080946933,3.216738553417386,0.03336478241568176,-0.03336478241568176,19
149,2007-01-04 12:25:00,0.10775816796360321,0.6649525761604309,0.7592876596408451,2.2654028063669647,2.359737889847379,0.025309588654694837,-0.025309588654694837,19
150,2007-01-04 12:30:00,0.10692366376602264,-0.03504742383956905,0.5151744603360011,2.085229343428942,2.6354512276045123,0.017172482011200037,-0.017172482011200037,19
151,2007-01-04 12:35:00,0.1,-0.3738591494730538,0.03578304568300755,1.9050558804909192,2.3146980756469806,0.0011927681894335852,-0.001809071772005639,19
152,2007-01-04 12:40:00,0.1,-0.0,0.5363153263090807,1.7248824175528967,2.2611977438619775,0.017877177543636026,-0.017877177543636026,19
153,2007-01-04 12:45:00,0.1,-0.0,0.16901073219641494,1.8779368457730603,2.0469475779694752,0.005633691073213831,-0.005633691073213831,19
154,2007-01-04 12:50:00,0.1081670750204177,0.7,0.7313843066305303,2.0309912739932243,2.0623755806237547,0.024379476887684343,-0.024379476887684343,19
155,2007-01-04 12:55:00,0.1081670750204177,-0.0,-0.3035712496586438,2.184045702213388,1.8804744525547443,0.0,0.0,19
156,2007-01-04 13:00:00,0.1081670750204177,-0.0,-0.211972976796299,1.9349324990258943,1.7229595222295953,0.0,0.0,19
157,2007-01-04 13:05:00,0.1081670750204177,-0.0,-0.12336076896381565,1.6858192958384004,1.5624585268745848,0.0,0.0,19
158,2007-01-04 13:10:00,0.1081670750204177,-0.0,-0.46872334547107863,1.4367060926509063,0.9679827471798277,0.0,0.0,19
159,2007-01-04 13:15:00,0.1081670750204177,-0.0,-0.7193538154412225,1.6403060384007442,0.9209522229595217,0.0,0.0,19
160,2007-01-04 13:20:00,0.10745632943344845,-0.02984982208697562,0.0,1.8439059841505823,1.8737558062375579,0.0,0.0,19
161,2007-01-04 13:25:00,0.1,-0.40262165731674554,1.1401179336852894,2.04750592990042,3.590245520902455,0.03800393112284298,-0.03871871200712741,19
162,2007-01-04 13:30:00,0.10346958747734518,0.2973783426832544,1.8085701469446738,2.137779662228296,3.6489714664897153,0.06028567156482245,-0.06028567156482245,19
163,2007-01-04 13:35:00,0.1,-0.18734835589045054,0.8777302999846981,2.228053394556172,3.2931320504313204,0.029257676666156602,-0.029412443692227723,19
164,2007-01-04 13:40:00,0.10174396681460127,0.14947539567947388,-0.010673230872789485,2.3183271268840473,2.158178500331784,0.0,0.001743966814601261,19
165,2007-01-04 13:45:00,0.10174396681460127,-0.0,-0.36689579820067886,2.534779009879511,2.167883211678832,0.0,0.0,19
166,2007-01-04 13:50:00,0.10666973680143053,0.4221877455711365,-0.3393284824066909,2.751230892874974,1.9897146648971467,0.0,0.004925769986829268,19
167,2007-01-04 13:55:00,0.10666973680143053,-0.0,-0.969756432141174,2.967682775870437,1.9979263437292631,0.0,0.0,19
168,2007-01-04 14:00:00,0.10666973680143053,-0.0,-0.992285094871393,2.8827130975256727,1.8904280026542797,0.0,0.0,19
169,2007-01-04 14:05:00,0.10666973680143053,-0.0,-1.025264985206124,2.7977434191809083,1.7724784339747843,0.0,0.0,19
170,2007-01-04 14:10:00,0.11483681182184823,0.7,-0.911413422322541,2.712773740836144,1.101360318513603,0.0,0.008167075020417691,19
171,2007-01-04 14:15:00,0.11932443168808374,0.3846338987350464,-1.0949243871941625,2.468692327070549,0.9891340411413403,0.0,0.004487619866235512,19
172,2007-01-04 14:20:00,0.11932443168808374,-0.0,-1.2924609464834538,2.2246109133049536,0.9321499668214999,0.0,0.0,19
173,2007-01-04 14:25:00,0.12749150670850143,0.7,-0.3496237264803015,1.980529499539359,0.9309057730590575,0.0,0.008167075020417691,19
174,2007-01-04 14:30:00,0.12749150670850143,-0.0,-0.4107946873950248,2.0966772355038494,1.6858825481088247,0.0,0.0,19
175,2007-01-04 14:35:00,0.12749150670850143,-0.0,-0.9815708241557983,2.2128249714683395,1.2312541473125411,0.0,0.0,19
176,2007-01-04 14:40:00,0.13251249634973394,0.4303490221500397,-1.0388857954354118,2.32897270743283,0.8597378898473784,0.0,0.005020989641232515,19
177,2007-01-04 14:45:00,0.14570056101138415,1.1303490221500396,-0.2988915843900597,2.3098809515965026,0.8806403450564033,0.0,0.013188064661650206,19
178,2007-01-04 14:50:00,0.15072155065261666,0.4303490221500397,-0.7757520515132539,2.2907891957601745,1.084688122096881,0.0,0.005020989641232515,19
179,2007-01-04 14:55:00,0.15827514067676432,0.647418200969696,-0.5244119529554778,2.271697439923847,1.0998672859986733,0.0,0.007553590024147655,19
180,2007-01-04 15:00:00,0.15827514067676432,-0.0,-1.4780605025674918,2.162615910663046,0.6845554080955542,0.0,0.0,19
181,2007-01-04 15:05:00,0.15827514067676432,-0.0,-1.7877745937446479,2.0535343814022453,0.2657597876575974,0.0,-0.1199060807269366,19
182,2007-01-04 15:10:00,0.166442215697182,0.7,-1.0540912064878278,1.9444528521414441,0.19036164565361638,0.0,0.008167075020417691,19
183,2007-01-04 15:15:00,0.1827763657380174,1.4,-0.4811295949271228,2.110061247216439,0.22893165228931622,0.0,0.016334150040835382,19
184,2007-01-04 15:20:00,0.19094344075843508,0.7,-1.3066749508514872,2.2756696422914335,0.26899469143994637,0.0,0.008167075020417691,19
185,2007-01-04 15:25:00,0.19977969617301755,0.7573554515838623,-1.537605399319395,2.4412780373664287,0.1463171864631714,0.0,-0.0068326609684987785,19
186,2007-01-04 15:30:00,0.21646274208201924,1.4299038648605347,-0.9046426135254069,2.487831149918788,0.15328467153284642,0.0,0.016683045909001687,19
187,2007-01-04 15:35:00,0.22497871297060323,0.7299038648605347,-1.1998022290638313,2.5343842624711472,0.6046781685467814,0.0,0.008515970888583996,19
188,2007-01-04 15:40:00,0.22532760883876954,0.029903864860534757,-1.6256021896586588,2.5809373750235065,0.925431320504313,0.0,-0.051985349822941514,19
189,2007-01-04 15:45:00,0.23384357972735353,0.7299038648605347,-0.6823829983365868,2.305866823382921,0.8935799601857994,0.0,0.008515970888583996,19
190,2007-01-04 15:50:00,0.23419247559551984,0.029903864860534757,-1.183954782462424,2.030796271742335,0.8169376244193762,0.0,0.0003488958681663046,19
191,2007-01-04 15:55:00,0.23419247559551984,-0.0,-0.9407788057022806,1.7557257201017493,0.8149469143994688,0.0,0.0,19
192,2007-01-04 16:00:00,0.23419247559551984,-0.0,-1.1233887846831059,1.9681963493811816,0.8448075646980757,0.0,0.0,19
193,2007-01-04 16:05:00,0.23419247559551984,-0.0,-1.326901218872956,2.1806669786606134,0.8537657597876575,0.0,0.0,19
194,2007-01-04 16:10:00,0.24235955061593753,0.7,-0.06598100541847951,2.3931376079400457,1.6271566025215662,0.0,0.008167075020417691,19
195,2007-01-04 16:15:00,0.24235955061593753,-0.0,-0.12258094015236498,2.371087907637434,2.248506967485069,0.0,0.0,19
