update,reward_total,energy_cost_total
680,-19.700442,19.700442
681,-18.707511,18.707511
682,-18.951037,18.951037
683,-20.154927,20.154927
684,-20.988008,20.988008
685,-19.018099,19.018099
686,-20.348106,20.348106
687,-20.969925,20.969925
688,-18.907042,18.907042
689,-17.982485,17.982485
690,-17.668577,17.668577
691,-17.859513,17.859513
692,-16.780657,16.780657
693,-17.847905,17.847905
694,-17.048959,17.048959
695,-15.953994,15.953994
696,-17.412689,17.412689
697,-18.854518,18.854518
698,-17.390679,17.390679
699,-17.729157,17.729157
700,-16.729592,16.729592
701,-17.784195,17.784195
702,-18.359612,18.359612
703,-17.772562,17.772562
704,-17.977689,17.977689
705,-19.522067,19.522067
706,-17.493863,17.493863
707,-16.602296,16.602296
708,-16.619492,16.619492
709,-17.893767,17.893767
710,-18.516354,18.516354
711,-17.720842,17.720842
712,-19.492755,19.492755
713,-17.053201,17.053201
714,-16.845262,16.845262
715,-16.860318,16.860318
716,-18.161373,18.161373
717,-17.590885,17.590885
718,-17.416901,17.416901
719,-19.431360,19.431360
720,-19.414642,19.414642
721,-18.949047,18.949047
722,-17.075022,17.075022
723,-17.694592,17.694592
724,-18.266590,18.266590
725,-17.282104,17.282104
726,-18.879286,18.879286
727,-18.964607,18.964607
728,-19.352292,19.352292
729,-17.798466,17.798466
730,-18.243477,18.243477
731,-17.724517,17.724517
732,-17.400462,17.400462
733,-18.478547,18.478547
734,-19.339591,19.339591
735,-20.942735,20.942735
736,-18.834758,18.834758
737,-17.183008,17.183008
738,-16.568087,16.568087
739,-17.411335,17.411335
740,-18.130163,18.130163
741,-17.558126,17.558126
742,-18.067741,18.067741
743,-17.154636,17.154636
744,-18.181544,18.181544
745,-16.926476,16.926476
746,-18.666446,18.666446
747,-17.255869,17.255869
748,-17.907373,17.907373
749,-18.597984,18.597984
750,-19.769833,19.769833
751,-20.869811,20.869811
752,-17.926578,17.926578
753,-18.060231,18.060231
754,-16.945935,16.945935
755,-17.215122,17.215122
756,-18.796149,18.796149
757,-19.339319,19.339319
758,-19.582783,19.582783
759,-19.280530,19.280530
760,-16.851344,16.851344
761,-16.451903,16.451903
762,-18.200459,18.200459
763,-18.557819,18.557819
764,-19.110411,19.110411
765,-18.253122,18.253122
766,-19.201622,19.201622
767,-18.758096,18.758096
768,-19.461289,19.461289
769,-17.130343,17.130343
770,-16.353001,16.353001
771,-17.520619,17.520619
772,-15.948930,15.948930
773,-15.770136,15.770136
774,-16.793127,16.793127
775,-18.257929,18.257929
776,-18.041151,18.041151
777,-15.950659,15.950659
778,-16.659479,16.659479
779,-17.976479,17.976479
780,-16.961995,16.961995
781,-16.589941,16.589941
782,-16.933803,16.933803
783,-17.248214,17.248214
784,-16.656939,16.656939
785,-18.286154,18.286154
786,-18.778089,18.778089
787,-19.451733,19.451733
788,-17.128697,17.128697
789,-17.423836,17.423836
790,-17.508487,17.508487
